,FxPair,Avg_Quotes,Avg_Spread
32,usd_cad,303471.0,1.0
26,gbp_usd,350731.0,1.0
38,usd_jpy,345796.0,1.0
4,aud_usd,299905.0,1.0
12,eur_gbp,366286.0,1.0
20,eur_usd,384608.0,1.0
24,gbp_jpy,427131.0,2.0
29,nzd_jpy,327075.0,2.0
14,eur_jpy,516387.0,2.0
30,nzd_usd,263780.0,2.0
0,aud_cad,296464.0,2.0
8,eur_aud,462612.0,2.0
33,usd_chf,251364.0,2.0
6,cad_jpy,422557.0,2.0
2,aud_jpy,375423.0,2.0
9,eur_cad,368242.0,2.0
31,sgd_jpy,191412.0,3.0
36,usd_hkd,11734.0,3.0
28,nzd_chf,243608.0,3.0
27,nzd_cad,280040.0,3.0
43,usd_sgd,163786.0,3.0
23,gbp_chf,303240.0,3.0
22,gbp_cad,298876.0,3.0
21,gbp_aud,379624.0,3.0
3,aud_nzd,219164.0,3.0
5,cad_chf,260578.0,3.0
7,chf_jpy,354268.0,3.0
1,aud_chf,303699.0,3.0
10,eur_chf,301563.0,3.0
16,eur_nzd,360843.0,4.0
25,gbp_nzd,361200.0,5.0
35,usd_dkk,310102.0,7.0
44,usd_try,230410.0,8.0
19,eur_try,208331.0,14.0
41,usd_pln,194109.0,15.0
17,eur_pln,99275.0,17.0
37,usd_huf,152031.0,20.0
13,eur_huf,64704.0,21.0
42,usd_sek,402652.0,21.0
40,usd_nok,428918.0,27.0
18,eur_sek,225996.0,28.0
39,usd_mxn,237711.0,29.0
15,eur_nok,244163.0,35.0
45,usd_zar,264249.0,43.0
34,usd_czk,140336.0,128.0
11,eur_czk,18860.0,155.0
